Protein	Protein State	Deut Time	MS File	Start Idx	End Idx	z	maxD	#D left	#D right	Start RT	End RT	Confidence	Theor mono m/z	mono inty	m+1 inty	m+2 inty	...																													
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	100	111	2	9	3.2381	0	7.59	7.7	Low	674.3724	296.0115	299.001	864.0111	1065.0059	790.9979	555.9878	560.0007	294.9881	383.0024	107.998	66.0108	158.0111	161.997	89.0108	122.9992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	111	2	7	1.9093	0	5.92	6.22	Medium	497.2408	10981.1959	24836.0879	26193	21531.1376	11386.0713	6205.8245	3087.1249	1292.9634	774.9787	412.869	1123.8989	916.8649	1029.1749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	113	2	9	1.8138	0	4.11	4.41	Medium	639.3389	25832.2188	41827.7023	42851	37085.2242	20106.9825	12335.1509	6655.0313	3598.2155	1974.0165	1885.7448	706.1735	751.2901	638.1716	833.677	695.7117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	114	2	10	3.09	0	6.55	6.8	Medium	695.8809	2005.9853	2515.0097	3438	3253.0242	2273.0093	1508.9743	1189.0176	1136.9768	736.0211	832.0238	436.9961	371.0008	300.0217	162.9948	186.025	211.993	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	116	2	12	2.5141	0	6.76	6.91	Medium	817.4236	580.984	1090.0069	1565.0079	1493.9899	1144.9933	971.9821	317.9852	247.0034	105.983	108.9934	117.0093	57.9968	229.9925	392.993	262.9988	429.9891	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	117	2	13	2.8935	0	7	7.3	Medium	874.4451	2244.911	7119.0706	14799.9409	21418	19293.0311	14543.0622	9382.9371	4626.105	2968.1586	1302.0418	969.0146	457.8716	314.0718	347.0804	170.9257	256.8787	167.9843	433.0335	348.0609	604.9396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	118	2	14	3.5705	0	8.4	8.54	Medium	955.9768	424.9982	1014.0194	1297.9809	2220.0145	2690	2643.9866	2185.0016	1197.991	717.005	457.0147	162.0116	259.0051	278.0098	217.9994	171.986	167.0193	162.9967	176.0085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	124	3	20	7.5148	0	10.45	10.75	Medium	901.4282	814.9126	1499.1869	3155.1398	3606.9681	5124.1741	7095.9113	13462.05	20885.9084	23195.0527	29522	24042.8501	20163.794	12893.9987	8600.9544	5716.1007	3293.8867	2320.8567	986.9948	704.9963	532.9141	855.906	659.0476	868.9698	1053.2149	1547.8384	1619.9147	1710.0101	1247.8209	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	103	125	3	21	7.9598	0	10.93	11.23	Medium	935.7646	416.0547	969.9236	1111.0033	1601.9523	3272.9205	3545.936	5764.8947	8250.9905	11695.0356	13391.9119	14268	11629.0677	7286.9453	5629.0401	3499.998	2368.0939	1970.9805	827.102	679.9262	647.922	490.949	733.0488	853.0102	760.0456	1309.9955	1340.9111	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	107	113	1	5	0.7449	0	3.13	3.22	High	833.5026	9849	9116.0547	5119.0454	2131.9587	775.9272	478.0601	235.9492	47.9413	10.0692	33.9647	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	107	116	2	8	1.1924	0	3.68	3.89	Medium	595.3397	1489.0085	3146.0111	1665.02	1174.9938	652.9723	484.0131	235.0285	273.0369	152.9986	303.0278	231.0198	573.0211	93.0166	189.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	107	117	2	9	1.6814	0	3.73	3.91	Medium	652.3612	12574.0279	19149	17711.9849	12334.1358	6892.8803	3044.9642	1517.9531	906.0967	613.0251	293.0716	385.9896	1602.1052	97.8853	170.0575	116.878	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	107	118	2	10	2.1777	0	4.69	4.96	Medium	733.8928	4231.051	3712.9921	7762	7148.0043	5479.0588	3049.0145	1731.0083	801.9608	778.9834	579.0557	196.0191	153.0252	115.0058	85.9878	87.0538	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	112	124	2	11	5.1931	0	7.57	7.79	Low	864.4104	1162.9976	463.0082	771.0108	937.0073	1147.99	1737.9968	2393	2289.0057	1755.9986	1082.0077	663.9858	355.9832	377.0157	180.0182	380.0099	336.0096	375.9933	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	114	124	2	9	4.5433	0	9	9.32	Medium	722.3124	1129.0245	1444.9675	1601.0036	3392.0327	4963.0386	7927	7804.9531	5348.0488	3152.0515	1669.9498	950.0062	760.9485	361.0604	354.0448	576.9709	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	114	125	2	10	4.2975	0	10.1	10.38	Medium	773.817	1154.9748	1334.007	1328.9883	3964.9599	6325	5328.0175	5621.997	4171.981	3130.9884	1369.0414	1005.9583	437.0123	390.9754	603.9803	475.0385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	118	124	1	5	3.1183	0	8.94	9.19	Medium	973.405	1429.0532	2017.9912	5318.9359	10353.07	11018	7234.0353	2687.965	748.992	657.0282	919.974	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	119	125	1	5	4.8316	0	7.66	7.8	Low	913.3509	0	399.993	409.998	429.018	3415	2355.9774	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	125	131	1	5	0.7489	0	5.95	6.16	Medium	840.3556	8440.9819	7038.0542	3534.08	1893.9859	645.9355	537.053	193.0113	466.9736	212.0782	4087.0221	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	125	132	1	6	0.7265	0	8.5	8.61	Medium	971.3961	4275	3372.9675	2264.9966	1298.9712	478.0224	309.0055	166.9947	75.0172	166.9947	91.9776	152.9698	48.9895	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	126	132	1	5	0.6948	0	7.66	7.94	Medium	868.3869	20774	14483.9492	7336.1209	3277.0521	1599.8532	698.965	421.9149	543.9564	491.0189	10611.9051	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	130	137	1	6	1.2995	0	10.44	10.64	Medium	993.3805	814.0019	1087	637.0067	431.9969	321.9948	130.0054	124.0011	141.9975	133.0076	78.0066	93.0008	79.997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	133	148	2	13	5.0235	0	12.29	12.56	Medium	937.9533	317.0046	579.0195	828.9807	1716.9984	2416.9953	2883	2680.9898	2196.9925	1383.9808	1048.9835	586.9821	542.9903	527.0213	277.9839	414.0065	262.9827	80.9888	136.9903	415.9861	310.0099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	136	148	2	10	3.7815	0	10.94	11.24	Medium	756.8738	3030.8688	5952.8394	9523.1429	17044.8934	24456.1901	25488	20897.1653	11207.1749	6316.0925	2671.116	1174.9332	766.1762	1064.0905	896.854	653	432.0923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	138	148	2	8	2.6172	0	9.41	9.73	Medium	623.8375	68186.6597	179749.6017	427201.9397	593718.0992	609883	443785.6202	212991.4125	71499.6733	15913.6329	4448.3722	1423.8514	716.5788	539.7606	241.9617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	138	149	2	9	2.922	0	10.65	10.94	Medium	689.3578	1329.0477	2037.043	5844.0182	6502.989	7352	4070.0475	2620.9625	902.9717	713.0436	563.9506	342.9475	382.9973	472.9691	624.9789	475.9981	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	140	148	1	6	2.0701	0	8.23	8.39	Low	970.5204	929.7179	1756.1339	2949.0676	1886.8663	950.7285	379.9412	182.0916	102.1347	51.9428	38248	14723.7437	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	142	148	1	5	1.476	0	9.55	9.69	Low	728.3825	6735.9856	15343.4752	11331.4088	4581.1369	1573.8729	11455.2233	1611.9697	1057.1854	156042	33198.9564	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	144	151	1	6	1.9918	0	13.67	13.73	Medium	905.4285	2248.063	6802.0667	9852	7560.9421	4595.9463	1305.0311	423.9359	222.9422	401.9875	357.0382	320.0566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	148	155	1	6	0.4598	0	8.19	8.5	High	904.4808	132390	117737.9107	44362.3163	14680.3713	4987.7304	2286.8006	1185.8233	640.385	420.1895	1268.6491	3119.0991	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	149	155	1	5	0.506	0	3.96	4.04	Medium	791.3968	3803	3309.9766	982.9712	340.9846	240.0123	132.0184	65.9802	42.0138	24.0244	26.984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	149	156	2	6	0.3252	0	8.2	8.45	Medium	452.7441	504127	427171.3807	263467.6089	97702.2511	32669.9835	15008.0381	7692.4849	2669.2923	1007.7155	538.4739	223.0821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	150	156	1	5	0.2256	0	8.16	8.47	Medium	773.4403	55314	27091.9169	8810.0638	2504.2594	918.3128	396.6976	393.3215	3013.214	1472.8455	2128.6627	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	156	172	2	14	5.5391	0	12.77	13.03	Low	1024.5346	599.0359	753.9428	1278.0151	4245.0666	6168.9531	4836.0275	5245.9721	6821.9574	8720.0037	8820	7637.0016	4457.9794	2205.9757	880.0485	671.0387	278.9938	220.9879	102.0151	202.9535	188.9567	123.9524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	157	172	2	13	6.8364	0	10.78	11.08	Medium	967.9926	11638.1073	24205.4048	29470.816	29571.4782	49053.4995	117085.7089	244965.5107	408247.4593	507454	487042.7885	344884.4306	193620.0087	79616.114	28247.3822	9485.4833	2942.4356	874.9874	1331.8393	960.1632	983.393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	158	172	2	12	6.5391	0	9.48	9.62	Medium	894.4584	750.0138	869.0564	816.047	938.9739	1095.0316	1941.0106	3699.0018	5733.0073	7487	5443.0553	2938.0206	1678.0202	974.9608	497.9909	204.9543	94.0231	115.958	118.0144	220.0345	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	161	167	1	4	2.5692	0	5.15	5.39	Medium	815.4145	407.9642	592.0457	1695.9123	2084.9087	1429.1186	367.8519	320.8987	191.8551	268.9703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	161	172	2	9	5.1267	0	9.59	9.89	Medium	709.8396	6733.7514	9741.1133	9909.4571	14954.0641	31194.9595	53780.6085	62330	49395.1102	29153.91	13402.8284	5387.0011	9498.5841	7067.5857	3299.348	1874.6079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	162	173	2	9	5.1267	0	9.59	9.89	Medium	709.8396	6733.7514	9741.1133	9909.4571	14954.0641	31194.9595	53780.6085	62330	49395.1102	29153.91	13402.8284	5387.0011	9498.5841	7067.5857	3299.348	1874.6079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	165	172	1	6	3.4756	0	6.74	7.04	Medium	949.4183	2773.9548	2252.0565	3804.9514	8133.9345	12710	10635.9825	6580.0699	2051.9081	805.0539	411.9332	101.0439	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	196	209	2	10	3.6501	0	7.2	7.49	Low	735.3652	1286.953	2093.0437	3179.9415	4203.0628	4836.0685	4666.9497	3656.0443	2625.9425	1262.0452	576.0511	538.9274	348.0738	289.0567	197.9928	385.9907	293.0229	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	233	239	1	4	2.1334	0	6.31	6.6	Medium	787.4382	2246.0441	3696.1959	34634	28262.105	18591.9603	7132.9076	1676.8701	614.0949	318.1455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	306	316	2	6	-0.0005	0	7.87	7.95	Medium	582.319	232790	177479.508	47922.0247	11061.388	2223.6445	735.2946	653.5952	74.5951	248.6503	6415.1788	3815.0066	923.5584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	323	349	4	19	6.5773	0	3.02	3.32	Low	746.6454	1641.9924	4083.0134	4513	3398.0235	2184.0207	1382.995	991.0213	1231.9763	1054.996	1904.9839	2299.0235	2013.0314	3530.9998	3247.0049	2664.9666	1591.0331	966.9878	600.9758	166.9951	172.0222	153.0157	128.9822	289.9862	437.0107	410.0161	212.9962	517.0307	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	350	364	2	13	9.4075	0	11.41	11.6	Low	834.4119	736.9908	337.9929	268.9902	142.0043	279.01	268.9902	356.0104	674.0091	471.9995	669.0105	545.001	524.0071	298.0045	267.9905	78.0001	107.9914	1489	1418.9976	800.995	408.995	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	356	364	1	7	4.823	0	9.44	9.55	Low	983.4359	372.0332	588.9733	1253.9979	2125.0205	3476.0026	4454	3347.0075	2642.0202	687.9964	385.0143	2653.9818	1308.0291	393.034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	358	364	1	5	3.9592	0	7.52	7.72	Low	777.4175	1281.0656	1909.9888	2460.0817	4321.9123	5226.0253	4880.0315	1557.1153	1721.9425	1520.9967	982.0834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	365	371	1	5	2.1864	0	2.99	3.18	Medium	772.4464	2940.0367	6168.959	9326.0098	10195	5839.004	2340.0197	600.017	142.9649	63.0041	44.0251	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	365	381	2	13	6.9412	0	10.59	10.74	Medium	1020.0305	1498.1987	2158.9385	2518.9676	2869.9341	3863.1035	7631.0506	13258.0493	19252.9038	26392.9307	26996	23055.8651	14015.1813	7055.1689	3075.0765	1347.8433	470.015	273.9351	236.8612	388.8643	315.1284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	365	383	3	15	6.8357	0	11.01	11.31	Medium	756.3931	2606.0062	3751.0142	3283.0389	1948.0272	1832.0128	1193.978	2501.0323	2391.9627	4867.9757	5424.008	5835	5207.0263	4491.9751	3137.9986	1922.0286	1357.0037	876.0291	924.9991	851.0098	284.0261	295.957	193.0309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	365	388	3	20	10.1423	0	12.11	12.41	Medium	920.155	427.0223	382.9982	558.9736	926.9938	617.0054	851.0127	1144.9923	745.0151	1175.0087	2134.9903	2819.9725	2821.0033	3244.9937	3974	3609.982	3324.0068	2232.9835	1303.0184	521.0133	332.0005	189.9831	272.9984	274.0292	154.024	446.9727	370.9916	466.0134	368.0202	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	365	390	3	22	10.6952	0	12.67	12.96	Medium	1012.8517	314.0488	1137.9475	1241.0182	1196.988	1235.0141	1877.9553	1837.9278	2183.9986	2926.0078	4434.0426	5716.9229	7000.9706	8373.0788	10247.0314	10930	9299.0475	6986.961	5159.0401	2659.9919	1336.9174	702.9824	450.9761	433.9644	348.0722	320.0529	714.9906	667.9583	471.9905	703.9831	542.0386	871.9316	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	369	381	2	9	4.7914	0	11.74	12.03	Medium	782.8828	1932.9997	3292.9888	2980.0964	4121.0387	5534.9063	10258.1029	12403.9666	14471	9950.9516	5424.9413	1844.8952	777.042	291.9152	399.0096	293.0193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	372	378	1	4	2.7592	0	12.6	12.74	Medium	974.4771	907.9913	1621.9902	2818.0211	4576.9613	4791.9609	2088.0245	650.008	1021.0256	421.0307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	372	381	2	6	3.6491	0	12.97	13.27	Medium	643.3162	20255.57	46016.9354	74582.8613	145922.0269	225660.1135	241838	233690.0134	118529.5882	35817.1912	8092.6335	1970.5729	372.7113	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	372	383	2	8	5.1571	0	13.26	13.49	Medium	757.3717	1222.0385	1427.9799	2024.9895	2406.9516	3767.9855	6172.0352	6558	6257.9941	3395.0296	2982.0462	1293.9879	555.9815	1651.0329	1758.0063	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	372	390	2	15	8.6896	0	13.64	13.84	Medium	1142.0597	264.0143	426.0128	267.0135	311.0007	328.9955	261.0152	433.0108	1048.0143	1750.9922	2634.0089	2978	2687.9932	1854.0078	1584.9949	671.9869	592.0101	279.01	242.0207	158.9993	176.9941	402.0198	171.9956	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	375	381	1	4	2.4584	0	12.97	13.11	Low	865.4454	3687.0867	2758.1742	5127.9382	6274.07	3824.9864	3094.009	2194.9322	980.0325	3068.1756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	379	390	2	10	0.5922	0	10.29	10.6	Medium	664.3301	39671.1761	42296	18000.083	8197.8148	3525.1507	2242.7497	3299.2623	2890.7268	1683.1917	833.2057	2518.979	3032.7139	1588.3185	964.8664	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	382	388	1	5	0.0383	0	5.87	6.17	Low	738.4145	796531	242757.5137	62448.711	11412.8726	2977.7996	1592.2112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	382	389	1	6	3.5724	0	6.2	6.41	Medium	853.4414	385.9987	771.9974	1581.0062	2564	2469.0066	1586.9922	830.9966	419.9976	344.9966	316.9837	777.0053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	382	390	1	7	3.2953	0	8.08	8.39	High	1016.5047	2482.1744	5557.1069	13906.1043	26612.8614	32372	23895.0657	10609.8755	3403.9132	734.0321	350.2212	275.1385	448.0263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	382	392	2	9	4.704	0	8.5	8.79	Medium	617.7741	1627.9229	2399.9382	4202.0668	7835.9453	13575	12910.9052	13026.0758	8344.0627	4255.095	3185.0034	2512.0016	1799.0215	1138.0339	969.0066	404.9611	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	383	389	1	5	3.5452	0	6.21	6.32	Low	754.373	113.9994	287.0086	399.0154	670.0131	495.9901	566.9906	373.9852	368.0073	251.0014	156.9983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	14400s	N66428_23_01_22	383	390	1	6	3.6733	0	8.08	8.27	Medium	917.4363	1258.9836	3367.9777	6127.0332	9912	9071.9718	4732.9857	1803.928	691.0495	152.0037	4580.0745	3531.0224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
